feature,importance_mean,importance_std
application_name,0.03657408931706409,0.0003582004378488915
src2dst_mean_ps,0.013317667104318826,0.0002807610607644583
application_category_name,0.01216994327876209,0.00028975710263488597
src2dst_max_ps,0.010926733554754025,0.00030427295439293633
dst_port,0.010628266759962323,0.00027736876643290006
src2dst_duration_ms,0.00840201115443101,0.0002061497029871208
bidirectional_duration_ms,0.007846486485543508,0.00033068740328988995
bidirectional_max_piat_ms,0.007673515956716404,0.000283395222916594
bidirectional_max_ps,0.007235271980514696,0.0003136028524558104
bidirectional_stddev_piat_ms,0.006446281152178995,0.00022860267305591388
src2dst_max_piat_ms,0.005880265042350586,0.00012822305683761676
bidirectional_mean_ps,0.005796417772564888,0.00011714400730225648
dst2src_max_ps,0.005350176329491629,0.00025332227955973127
src2dst_mean_piat_ms,0.005160075135681031,0.00022349815556761717
dst2src_max_piat_ms,0.005158404964051738,0.00021342330467571708
dst2src_mean_piat_ms,0.00482395955528866,0.00012333272776838796
bidirectional_stddev_ps,0.004645364399797297,0.000302850377005391
dst2src_stddev_piat_ms,0.004179598339984108,0.0001612060717340293
src2dst_bytes,0.0038982212159637043,0.00024100521532724692
dst2src_duration_ms,0.0037741549499957284,0.00018341123198164683
dst2src_packets,0.0035649820871839987,0.00014392488510689777
src2dst_psh_packets,0.003505835337752028,8.37928416866865e-05
src2dst_stddev_ps,0.0034561350816636584,0.00027252660115981663
application_confidence,0.0030188925595823813,0.0001246345208023685
src2dst_stddev_piat_ms,0.002472755430905271,0.00012270097516714829
bidirectional_fin_packets,0.0020901863261892917,0.00017602204476138483
dst2src_psh_packets,0.0020534206314928804,0.00015445982551444559
bidirectional_min_ps,0.002027354948075938,0.0003056617491712797
src2dst_min_ps,0.0019266973031817403,0.0002708513001011867
src2dst_fin_packets,0.0017404438179133453,0.0001844018924048431
bidirectional_mean_piat_ms,0.0017109115728162426,0.0002083847554042784
protocol,0.0015916803886742604,0.00010641529401681357
bidirectional_ack_packets,0.0015201009178102188,0.00016671430870726913
bidirectional_psh_packets,0.0014775230747908763,0.00011551502624621265
dst2src_ack_packets,0.0014668892779181708,0.0001561121376047443
bidirectional_min_piat_ms,0.0014091052207519828,0.0002951437261860211
src2dst_ack_packets,0.001334606920961029,7.996429577330875e-05
dst2src_min_piat_ms,0.0008820135004497298,8.917851957796647e-05
bidirectional_packets,0.0008412591911575839,0.00020888567030558859
dst2src_mean_ps,0.0007940926061801024,0.00032900293002500417
dst2src_stddev_ps,0.0007279708686642516,8.669630857271432e-05
dst2src_fin_packets,0.0005978118761154449,0.00012699841866888344
src2dst_min_piat_ms,0.0004458190491350211,0.00021946609928066984
src2dst_syn_packets,0.00020824263284199284,0.00010129552460825983
bidirectional_rst_packets,0.00017966091297968445,5.892553161449339e-05
dst2src_rst_packets,4.312628620539716e-05,2.764033861430902e-05
application_is_guessed,7.1751841490053095e-06,2.279858279873879e-05
src2dst_ece_packets,2.2318390141551347e-07,6.525412529016688e-07
dst2src_ece_packets,2.180264073781135e-07,6.540792221343405e-07
src2dst_cwr_packets,5.157494037399957e-09,1.5472482112199873e-08
dst2src_cwr_packets,0.0,0.0
bidirectional_ece_packets,-2.12849894992706e-07,6.559215931544654e-07
bidirectional_cwr_packets,-2.1870369756871177e-07,9.046099344642361e-07
dst2src_bytes,-4.4644531611598426e-05,0.00028463280540992196
src2dst_rst_packets,-0.00011195114485909596,2.5793567021970293e-05
bidirectional_syn_packets,-0.0003980817104778267,4.705360528054495e-05
src2dst_packets,-0.000591508593821044,0.00018230090546212847
bidirectional_bytes,-0.0008485947845269237,0.0002129377030108526
dst2src_syn_packets,-0.0009842455164124797,5.968134493148024e-05
dst2src_min_ps,-0.001609646981311269,0.00019389015188902268
