model,accuracy,macro_f1,weighted_f1,train_rows,test_rows,fit_seconds,predict_seconds,total_seconds,split_mode,experiment
rf,0.6542952256232636,0.6732606833476824,0.6586510434144363,799033,163414,209.76215720176697,5.504329442977905,230.60085558891296,day_holdout,flow_only
knn,0.6767290440231559,0.7162031318752377,0.6845756560040347,799033,163414,15.352579116821287,695.1492431163788,719.9195101261139,day_holdout,flow_plus_app
dt,0.653193728811485,0.6820451836415855,0.658079076533678,799033,163414,38.19699907302856,0.6101372241973877,48.38750433921814,day_holdout,flow_plus_app
rf,0.6551703036459544,0.675421748180185,0.6591609986746061,799033,163414,216.5859429836273,5.456046581268311,231.5603380203247,day_holdout,flow_plus_app
gb,0.6330546954361316,0.661551836813779,0.6479784553840955,799033,163414,325.7851128578186,11.592669248580933,346.94652366638184,day_holdout,flow_plus_app
logreg,0.4750021417993562,0.4024016643008706,0.495827131336705,799033,163414,635.6049792766571,0.919766902923584,647.2633147239685,day_holdout,flow_plus_app
gnb,0.2151284467671068,0.1907729917644689,0.2616522771053255,799033,163414,19.54567003250122,15.46158242225647,46.44692349433899,day_holdout,flow_plus_app
cnn1d,0.0753790984860538,0.0516012412340119,0.0389424129285289,799033,163414,933.42782497406,10.207926750183104,961.9980463981628,day_holdout,flow_plus_app
rf,0.6571774756140845,0.6814946882069709,0.6613188986185441,799033,163414,1233.6301379203796,3.8559763431549072,1244.8478972911837,day_holdout,extended
