model,accuracy,macro_f1,weighted_f1,train_rows,test_rows,fit_seconds,predict_seconds,total_seconds,split_mode,profile
rf,0.6542952256232636,0.6732606833476824,0.6586510434144363,799033,163414,209.76215720176697,5.504329442977905,230.60085558891296,day_holdout,flow_only
rf,0.6551703036459544,0.675421748180185,0.6591609986746061,799033,163414,216.5859429836273,5.456046581268311,231.5603380203247,day_holdout,flow_plus_app
rf,0.6571774756140845,0.6814946882069709,0.6613188986185441,799033,163414,1233.6301379203796,3.8559763431549072,1244.8478972911837,day_holdout,extended
